Fri Aug 23 10:06:10 CST 2013
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1377239433878,5,25,6,0,17,0,0,2720,1,1376,9,0,0
1377239438878,5,25,6,0,17,0,0,2720,1,1376,9,0,0
1377239443879,5,25,6,0,17,0,0,2720,1,1376,9,0,0
1377239448878,5,25,6,0,17,0,0,2722,1,1377,9,0,0
1377239453878,5,25,6,0,17,0,0,2722,1,1377,9,0,0
1377239458879,5,25,6,0,17,0,0,2722,1,1377,9,0,0
1377239463878,5,25,6,0,17,0,0,2722,1,1377,9,0,0
1377239468878,5,25,6,0,17,0,0,2722,1,1377,9,0,0
1377239473879,5,25,6,0,17,0,0,2722,1,1377,9,0,0
1377239478878,5,25,6,0,17,0,0,2724,1,1378,9,0,0
1377239483878,5,25,6,0,17,0,0,2724,1,1378,9,0,0
1377239488878,5,25,6,0,17,0,0,2724,1,1378,9,0,0
1377239493878,5,25,6,0,17,0,0,2724,1,1378,9,0,0
1377239498878,5,25,6,0,17,0,0,2724,1,1378,9,0,0
1377239503878,5,25,6,0,17,0,0,2724,1,1378,9,0,0
1377239508878,5,25,6,0,17,0,0,2726,1,1379,9,0,0
1377239513878,5,25,6,0,17,0,0,2726,1,1379,9,0,0
1377239518878,5,25,6,0,17,0,0,2726,1,1379,9,0,0
1377239523878,5,25,6,0,17,0,0,2726,1,1379,9,0,0
1377239528878,5,25,6,0,17,0,0,2726,1,1379,9,0,0
1377239533878,5,25,6,0,17,0,0,2726,1,1379,9,0,0
1377239538878,5,25,6,0,17,0,0,2728,1,1380,9,0,0
1377239543878,5,25,6,0,17,0,0,2728,1,1380,9,0,0
1377239548878,5,25,6,0,17,0,0,2728,1,1380,9,0,0
1377239553879,5,25,6,0,17,0,0,2728,1,1380,9,0,0
1377239558878,5,25,6,0,17,0,0,2728,1,1380,9,0,0
1377239563878,5,25,6,0,17,0,0,2728,1,1380,9,0,0
1377239568879,5,25,6,0,17,0,0,2730,1,1381,9,0,0
1377239573878,5,25,6,0,17,0,0,2730,1,1381,9,0,0
1377239578878,5,25,6,0,17,0,0,2730,1,1381,9,0,0
1377239583879,5,25,6,0,17,0,0,2730,1,1381,9,0,0
1377239588878,5,25,6,0,17,0,0,2730,1,1381,9,0,0
1377239593878,5,25,6,0,17,0,0,2730,1,1381,9,0,0
1377239598879,5,25,6,0,17,0,0,2732,1,1382,9,0,0
1377239603878,5,25,6,0,17,0,0,2732,1,1382,9,0,0
1377239608878,5,25,6,0,17,0,0,2732,1,1382,9,0,0
1377239613878,5,25,6,0,17,0,0,2732,1,1382,9,0,0
1377239618878,5,25,6,0,17,0,0,2732,1,1382,9,0,0
1377239623878,5,25,6,0,17,0,0,2732,1,1382,9,0,0
1377239628878,5,25,6,0,17,0,0,2734,1,1383,9,0,0
1377239633878,5,25,6,0,17,0,0,2734,1,1383,9,0,0
1377239638878,5,25,6,0,17,0,0,2734,1,1383,9,0,0
1377239643878,5,25,6,0,17,0,0,2734,1,1383,9,0,0
1377239648878,5,25,6,0,17,0,0,2734,1,1383,9,0,0
1377239653878,5,25,6,0,17,0,0,2734,1,1383,9,0,0
1377239658878,5,25,6,0,17,0,0,2736,1,1384,9,0,0
